id,name,description,price,duration_in_days
211,Yakijo 211,Synergized high-level alliance,573.03,25
212,Yodel 212,User-centric demand-driven analyzer,143.96,56
213,Oyoyo 213,Open-source transitional neural-net,241.56,73
214,Lazz 214,Right-sized static groupware,381.01,91
215,Divape 215,Re-contextualized disintermediate knowledge user,736.31,46
216,Mita 216,Self-enabling intangible knowledge base,711.49,53
217,Katz 217,Streamlined homogeneous system engine,974.64,44
218,Fatz 218,Pre-emptive mission-critical model,736.61,98
219,Skimia 219,Balanced multi-state projection,670.28,7
220,Devpulse 220,Centralized didactic pricing structure,908.74,12
221,Thoughtstorm 221,Triple-buffered grid-enabled framework,611.11,44
222,Photobug 222,Devolved executive open architecture,361.94,23
223,Tagchat 223,Distributed object-oriented toolset,245.15,74
224,Skipstorm 224,Function-based next generation paradigm,144.13,56
225,Riffpedia 225,Networked context-sensitive task-force,324.43,49
226,Npath 226,Object-based analyzing initiative,283.99,40
227,Fadeo 227,Robust cohesive groupware,777.11,72
228,Zoombox 228,Expanded systemic migration,590.15,59
229,Shuffledrive 229,Reverse-engineered well-modulated orchestration,724.37,54
230,Oba 230,User-centric dedicated matrix,477.24,78
231,Jabbersphere 231,Mandatory incremental interface,463.22,91
232,Gigashots 232,Object-based hybrid strategy,275.45,39
233,Innojam 233,Expanded logistical function,556.61,45
234,Dynazzy 234,Profit-focused value-added forecast,923.21,92
235,Jazzy 235,Innovative upward-trending matrix,171.17,63
236,Wikibox 236,Automated stable standardization,240.09,12
237,Twinte 237,Universal mission-critical service-desk,373.95,10
238,Wikivu 238,Distributed coherent protocol,680.43,80
239,Quimm 239,Optimized multi-tasking solution,503.92,38
240,Digitube 240,Horizontal bottom-line groupware,308.16,5
241,Zoomcast 241,Assimilated directional superstructure,357.04,84
242,Riffwire 242,Organic human-resource artificial intelligence,878.25,32
243,Skimia 243,Front-line mission-critical strategy,362.08,89
244,Yakijo 244,Universal maximized secured line,518.46,70
245,Meejo 245,Robust executive challenge,704.42,33
246,Quinu 246,Grass-roots national initiative,986.84,25
247,Avamba 247,Decentralized full-range hardware,256.94,41
248,Wordware 248,Advanced bi-directional matrix,488.19,94
249,Demizz 249,Reactive foreground middleware,395.9,66
250,Twimbo 250,Cross-group discrete task-force,254.76,1
251,Einti 251,Ergonomic eco-centric artificial intelligence,461.41,67
252,Oloo 252,User-friendly executive paradigm,995.89,92
253,Rhyloo 253,Progressive intangible forecast,154.53,60
254,Twitterbeat 254,Progressive tertiary internet solution,229.71,55
255,Yakijo 255,Front-line analyzing customer loyalty,637.96,59
256,Flashset 256,Enhanced leading edge algorithm,264.96,25
257,Fivespan 257,De-engineered tertiary function,124.03,78
258,Edgewire 258,Horizontal motivating utilisation,576.35,50
259,Realpoint 259,Synergistic local definition,732.72,99
260,Fiveclub 260,Robust interactive initiative,838.74,29
261,Jabbercube 261,Fully-configurable well-modulated alliance,551.14,25
262,Skipfire 262,Visionary client-server time-frame,367.25,89
263,Bubblebox 263,Grass-roots upward-trending architecture,841.39,54
264,Photolist 264,Adaptive multi-tasking conglomeration,286.77,18
265,Oloo 265,Assimilated needs-based complexity,781.46,71
266,Meezzy 266,Versatile fault-tolerant intranet,715.94,17
267,Wikibox 267,Front-line high-level portal,490.49,78
268,Einti 268,Advanced foreground focus group,388.88,69
269,Demizz 269,Up-sized secondary budgetary management,857.25,77
270,Twimbo 270,Integrated explicit moratorium,237.61,22
271,Edgeblab 271,Exclusive value-added open architecture,592.51,23
272,Centimia 272,Self-enabling multimedia concept,222.6,91
273,Twinder 273,Sharable asynchronous pricing structure,328.36,30
274,Edgetag 274,Innovative systemic success,814.54,75
275,Trudoo 275,Self-enabling system-worthy algorithm,398.42,22
276,Blogtag 276,Horizontal coherent knowledge user,512.79,88
277,Abata 277,Public-key value-added superstructure,323.11,95
278,Fiveclub 278,Assimilated local implementation,256.63,20
279,Thoughtsphere 279,Integrated next generation capacity,237.56,52
280,Eidel 280,Enterprise-wide empowering productivity,874.18,53
281,Zoovu 281,Expanded system-worthy strategy,461.55,65
282,Zoovu 282,Multi-tiered executive monitoring,680.47,8
283,Shuffletag 283,Robust impactful moratorium,414.25,91
284,Photojam 284,Secured attitude-oriented standardization,723.69,49
285,Pixope 285,Future-proofed dynamic success,846.23,100
286,Jazzy 286,Diverse cohesive monitoring,214.53,66
287,Skiba 287,Compatible actuating forecast,677.81,28
288,Kare 288,Future-proofed radical adapter,255.02,92
289,Jaloo 289,Quality-focused 4th generation array,283.56,77
290,Zooveo 290,Fully-configurable next generation matrices,102.67,29
291,Twitterbridge 291,Secured actuating policy,646.5,16
292,Tagfeed 292,Decentralized asymmetric customer loyalty,647.37,17
293,Roomm 293,Synergistic bi-directional standardization,377.6,63
294,Skipfire 294,Universal modular array,935.71,80
295,Tanoodle 295,Multi-lateral explicit approach,492.21,18
296,Topdrive 296,Grass-roots methodical archive,787.99,23
297,Gigabox 297,Programmable value-added Graphic Interface,445.99,25
298,Fatz 298,Compatible grid-enabled benchmark,358.06,97
299,Tanoodle 299,Implemented user-facing knowledge user,561.34,67
300,Photolist 300,Seamless cohesive portal,128.96,41
301,Realbuzz 301,Ameliorated logistical firmware,576.84,3
302,Jetpulse 302,Stand-alone intangible artificial intelligence,411.3,44
303,Realbridge 303,Open-source transitional installation,805.5,21
304,Blogspan 304,Fundamental impactful budgetary management,559.47,86
305,Jabbercube 305,Decentralized systemic matrix,313.67,92
306,Thoughtbridge 306,Expanded stable hardware,124.04,86
307,Zoomlounge 307,Seamless regional artificial intelligence,905.95,57
308,Meevee 308,Re-engineered incremental collaboration,944.46,47
309,Voonder 309,Secured intermediate utilisation,973.72,79
310,Trilia 310,Decentralized dynamic analyzer,396.89,42
311,Layo 311,Down-sized uniform hardware,106.77,91
312,Twinder 312,Grass-roots homogeneous complexity,208.47,60
313,Tagpad 313,Up-sized exuding challenge,984.95,98
314,Thoughtstorm 314,Extended explicit functionalities,650.01,91
315,Kazio 315,Function-based zero tolerance matrix,913.61,7
316,Yodoo 316,Progressive tertiary framework,398.35,70
317,Devpoint 317,Down-sized regional access,427.87,63
318,Youtags 318,Cross-group logistical project,276.64,64
319,Livepath 319,Intuitive holistic attitude,102.79,92
320,Skinte 320,Adaptive maximized moratorium,309.49,38
321,Plajo 321,Cross-group attitude-oriented help-desk,924.78,60
322,Demivee 322,Phased 3rd generation emulation,367.8,95
323,Yodel 323,Expanded bi-directional task-force,590.12,6
324,Skilith 324,Mandatory foreground task-force,726.61,66
325,Skynoodle 325,Face to face global monitoring,777.69,18
326,Eidel 326,Horizontal heuristic info-mediaries,743.79,26
327,Ainyx 327,Extended 24/7 installation,855.08,7
328,Zooveo 328,Customizable tertiary task-force,962.1,3
329,Aibox 329,Multi-lateral cohesive support,453.35,69
330,Lazzy 330,Open-architected local firmware,656.1,84
331,Oozz 331,Cross-group actuating moratorium,636.09,59
332,Fivespan 332,Organic fault-tolerant challenge,121.67,33
333,Gigaclub 333,Reduced explicit Graphic Interface,310.26,54
334,Aivee 334,Organic systematic Graphical User Interface,279.04,34
335,Pixonyx 335,Secured stable model,393.36,48
336,Flipstorm 336,Function-based tangible Graphic Interface,618.67,35
337,Voomm 337,Right-sized didactic policy,907.37,81
338,Innotype 338,Optional analyzing hardware,328.14,86
339,Gigabox 339,Business-focused dedicated algorithm,896.37,82
340,Rhynyx 340,Switchable actuating array,680.77,67
341,Divavu 341,Pre-emptive global algorithm,157.92,23
342,Ooba 342,Synergistic secondary model,816.64,11
343,Gabtune 343,Innovative 4th generation paradigm,250.06,75
344,Shufflester 344,Object-based well-modulated array,973.36,90
345,Livetube 345,Enterprise-wide next generation portal,734.32,37
346,Minyx 346,De-engineered logistical definition,446.51,16
347,Babblestorm 347,Profit-focused web-enabled frame,553.95,80
348,Zoomcast 348,Devolved multi-state solution,821.87,85
349,Pixoboo 349,Implemented uniform flexibility,284.61,13
350,Demizz 350,Quality-focused contextually-based secured line,861.14,71
351,Ozu 351,Future-proofed national system engine,984.58,57
352,Gigashots 352,Cross-group regional contingency,671.79,14
353,Teklist 353,Ameliorated fresh-thinking info-mediaries,655.81,69
354,Devpoint 354,Assimilated 6th generation collaboration,378.59,63
355,Realbuzz 355,Automated stable implementation,366.14,36
356,Flashspan 356,User-centric asymmetric support,645.96,30
357,Yodoo 357,Assimilated needs-based data-warehouse,900.17,30
358,Tavu 358,Secured incremental conglomeration,673.99,33
359,Shufflebeat 359,Expanded client-driven knowledge base,236.96,91
360,Mydo 360,Vision-oriented 5th generation function,319.65,2
361,Mydo 361,Configurable empowering access,373.32,45
362,Wikizz 362,Organic actuating local area network,818.28,21
363,Kwimbee 363,Cross-group reciprocal neural-net,451.24,48
364,Trudoo 364,Synchronised client-driven approach,215.35,66
365,Eamia 365,Sharable zero administration knowledge base,317.08,38
366,Skibox 366,Re-engineered fresh-thinking hardware,559.9,57
367,Demivee 367,Mandatory executive system engine,105.51,69
368,Topicblab 368,Cloned bifurcated circuit,568.7,10
369,Chatterbridge 369,Total content-based toolset,743.33,100
370,Quatz 370,Assimilated methodical parallelism,416.12,74
371,Einti 371,Grass-roots radical data-warehouse,405.45,85
372,Yacero 372,Organic high-level adapter,718.33,73
373,Brainverse 373,Pre-emptive coherent access,299.19,92
374,Riffpedia 374,Versatile full-range customer loyalty,413.41,22
375,Cogidoo 375,Visionary value-added structure,905.84,78
376,Ooba 376,Centralized fault-tolerant structure,498.48,13
377,Lajo 377,Secured scalable product,917.42,91
378,Topiczoom 378,Realigned 5th generation migration,647.06,87
379,Tazzy 379,Decentralized value-added initiative,382.8,3
380,Gevee 380,Proactive methodical emulation,389.71,54
381,Blogtags 381,Integrated national paradigm,386.23,92
382,Vimbo 382,Grass-roots context-sensitive definition,327.01,85
383,Yata 383,Persistent interactive analyzer,648.47,9
384,Minyx 384,Robust tertiary matrix,773.65,18
385,Muxo 385,Innovative intangible function,407.94,90
386,Quatz 386,Reactive exuding extranet,694.48,30
387,Rhyloo 387,Face to face context-sensitive standardization,432.94,13
388,Miboo 388,Distributed full-range model,446.6,1
389,Topiclounge 389,Optional eco-centric hierarchy,288.05,89
390,Realmix 390,Public-key asynchronous access,665.47,28
391,Voonix 391,Inverse impactful utilisation,394.47,15
392,Buzzdog 392,Organic clear-thinking info-mediaries,898.91,86
393,Wordtune 393,Intuitive zero administration parallelism,638.98,72
394,Meetz 394,User-friendly asynchronous firmware,330.51,35
395,Einti 395,Front-line context-sensitive portal,862.48,77
396,Innotype 396,Centralized multi-state moderator,533.68,16
397,Gabspot 397,Advanced secondary middleware,778.79,73
398,Flipopia 398,Automated cohesive knowledge base,871.11,90
399,Kwimbee 399,Mandatory tangible leverage,628.22,44
400,Avaveo 400,Stand-alone systemic paradigm,701.44,13
401,Jaxspan 401,Grass-roots systematic task-force,744.58,86
402,Dynabox 402,Customer-focused radical functionalities,396.78,68
403,Wordpedia 403,Synchronised asymmetric paradigm,692.12,2
404,Realbridge 404,Synergistic discrete application,965.91,8
405,Voonix 405,Cross-platform mobile portal,504.4,59
406,Feedfire 406,Persevering interactive instruction set,586.96,39
407,Skidoo 407,Customer-focused 5th generation moderator,463.12,77
408,Topiczoom 408,Distributed solution-oriented contingency,907.71,35
409,Photojam 409,Profit-focused static firmware,889.47,58
410,Eare 410,Persevering transitional implementation,256.02,64
411,Gabtune 411,Integrated dedicated hardware,321.89,75
412,Browsecat 412,User-centric even-keeled leverage,154.35,98
413,Riffwire 413,Phased responsive moratorium,320.12,5
414,Eabox 414,Programmable static customer loyalty,226.23,98
415,Brainverse 415,Persistent upward-trending conglomeration,476.76,40
416,Thoughtstorm 416,Visionary composite toolset,541.15,44
417,Nlounge 417,Optional systemic knowledge user,176.47,88
418,Oyope 418,Centralized systemic system engine,829.07,76
419,Demivee 419,Optional fault-tolerant artificial intelligence,672.9,46
420,Voomm 420,Multi-channelled secondary benchmark,302.69,9
421,Livetube 421,Secured high-level neural-net,694.86,56
422,Skinix 422,Virtual systematic paradigm,949.05,46
423,Zoombox 423,Reverse-engineered global standardization,814.29,19
424,Mudo 424,Secured client-driven architecture,115.33,59
425,Babbleblab 425,Polarised exuding success,979.37,78
426,Plajo 426,Progressive 24 hour array,832.72,49
427,Youbridge 427,Quality-focused secondary system engine,298.89,2
428,Flipstorm 428,Phased attitude-oriented encoding,679.46,62
429,Skipstorm 429,Open-architected real-time forecast,415.31,26
430,Leenti 430,Public-key 6th generation budgetary management,254.71,31
431,Linkbuzz 431,Vision-oriented web-enabled toolset,548.49,87
432,Dynabox 432,Optimized national budgetary management,714.77,74
433,Viva 433,Profit-focused systemic intranet,694.68,92
434,Mymm 434,Robust non-volatile methodology,666.68,30
435,Izio 435,Inverse 3rd generation synergy,213.53,46
436,Jatri 436,Exclusive didactic database,271.61,63
437,Thoughtbeat 437,Pre-emptive client-driven open system,661.38,39
438,Meemm 438,Fully-configurable full-range methodology,840.19,89
439,Twimbo 439,Synergistic system-worthy process improvement,308.8,47
440,Fiveclub 440,Down-sized static database,754.81,67
441,Voomm 441,Front-line fresh-thinking firmware,561.12,67
442,Feedbug 442,User-centric 24/7 challenge,779.87,83
443,Flipbug 443,Distributed disintermediate array,383.78,24
444,Mudo 444,Operative even-keeled access,101.36,35
445,Dabtype 445,Versatile client-server matrices,637.67,19
446,Skynoodle 446,Reverse-engineered actuating complexity,436.04,92
447,Blognation 447,Secured non-volatile circuit,723.38,81
448,Abata 448,Phased mobile local area network,922.45,9
449,Brainbox 449,Self-enabling cohesive toolset,768.44,79
450,Thoughtsphere 450,Phased grid-enabled collaboration,383.62,47
451,Zoozzy 451,Re-engineered discrete data-warehouse,331.02,51
452,Devify 452,Networked cohesive protocol,789.79,40
453,Kazu 453,Cross-platform needs-based instruction set,263.93,64
454,Rhynoodle 454,Open-source solution-oriented solution,838.93,45
455,Cogibox 455,Exclusive bifurcated installation,547.84,69
456,Skyble 456,Exclusive methodical attitude,298.15,33
457,Edgeblab 457,Fully-configurable clear-thinking moratorium,270.35,26
458,Latz 458,Virtual 24 hour artificial intelligence,604.09,9
459,Shufflester 459,Reverse-engineered uniform architecture,557.78,59
460,Skinix 460,Progressive uniform circuit,777.12,45
461,Riffpedia 461,Profound foreground throughput,510.95,8
462,Bubbletube 462,Exclusive fault-tolerant forecast,294.43,92
463,Leenti 463,Customizable composite Graphic Interface,316.07,85
464,Rhybox 464,Total attitude-oriented data-warehouse,652.78,89
465,Fiveclub 465,Streamlined mobile open system,665.03,27
466,Demizz 466,Expanded multi-tasking archive,210.89,80
467,Lajo 467,Advanced high-level success,478.82,87
468,Edgewire 468,Public-key analyzing Graphic Interface,369.21,62
469,Miboo 469,Multi-channelled secondary circuit,166.47,1
470,Talane 470,Upgradable user-facing synergy,807.82,87
471,Npath 471,Inverse bi-directional groupware,544.7,52
472,Edgeclub 472,Visionary 4th generation benchmark,640.76,32
473,Mybuzz 473,Realigned incremental emulation,848.13,55
474,Twimbo 474,Integrated 5th generation leverage,196.81,49
475,Wikivu 475,Universal executive flexibility,859.29,37
476,Demivee 476,Synergistic content-based service-desk,122.98,75
477,Mydo 477,Optimized asymmetric budgetary management,893.17,73
478,Ooba 478,Universal multimedia local area network,640.77,30
479,Meejo 479,Realigned well-modulated middleware,391.53,64
480,Wordpedia 480,Realigned transitional database,476.63,100
481,Trupe 481,Assimilated logistical benchmark,402.15,17
482,Ooba 482,Adaptive systemic frame,231.62,29
483,Avamm 483,Persevering scalable synergy,777.62,75
484,Zoomlounge 484,Managed intermediate workforce,258.78,27
485,Skivee 485,Reactive analyzing website,183.94,75
486,Blognation 486,Networked non-volatile concept,468.4,41
487,Tagopia 487,Compatible discrete orchestration,924.49,62
488,Browseblab 488,Profit-focused value-added matrix,423.72,7
489,Yozio 489,Expanded logistical flexibility,424.56,10
490,Realfire 490,Triple-buffered value-added protocol,198.46,3
491,Realpoint 491,Profit-focused tertiary moderator,869.92,95
492,Tagpad 492,Enhanced asymmetric complexity,779.15,52
493,Vitz 493,Open-architected local instruction set,290.48,7
494,InnoZ 494,Self-enabling incremental paradigm,734.83,53
495,Fivespan 495,Object-based bottom-line initiative,668.68,36
496,Tambee 496,Profound web-enabled hierarchy,498.51,83
497,Dabfeed 497,Robust regional capability,817.38,90
498,Plambee 498,Multi-layered grid-enabled open system,571.08,64
499,Realblab 499,Synergistic explicit challenge,811.17,5
500,Tambee 500,Self-enabling mission-critical pricing structure,361.21,26
501,Mynte 501,Balanced 6th generation analyzer,360.82,80
502,Yata 502,Extended zero tolerance local area network,236.87,93
503,Kwimbee 503,Virtual global initiative,442.68,1
504,Jabberstorm 504,Upgradable composite matrix,436.08,36
505,Gabtype 505,Polarised empowering software,770.56,56
506,Jabberstorm 506,Ameliorated radical superstructure,351.23,90
507,Jazzy 507,Front-line encompassing paradigm,911.81,92
508,Brainsphere 508,Customizable web-enabled artificial intelligence,167.14,57
509,Plajo 509,Reverse-engineered holistic functionalities,252.03,31
510,Quinu 510,Centralized contextually-based policy,957.74,39
511,Bluezoom 511,Extended clear-thinking middleware,136.73,77
512,Brainsphere 512,Enterprise-wide bifurcated success,297.85,54
513,Gabtune 513,Ergonomic stable pricing structure,344.63,73
514,Devbug 514,Operative impactful artificial intelligence,805.38,66
515,Fiveclub 515,Reactive composite instruction set,253.49,53
516,Yadel 516,Secured solution-oriented help-desk,957.1,50
517,Skinix 517,Seamless 6th generation artificial intelligence,440.83,82
518,Wikivu 518,Self-enabling static ability,212.79,27
519,Browsedrive 519,Expanded heuristic matrices,785.95,20
520,Voomm 520,Universal context-sensitive support,725.58,15
521,Digitube 521,Fundamental dedicated flexibility,252.01,82
522,Topiczoom 522,Assimilated 24 hour capacity,166.78,85
523,Mudo 523,Organic fresh-thinking productivity,424.58,81
524,Dynazzy 524,Horizontal impactful matrices,514.04,4
525,Skaboo 525,Front-line secondary methodology,485.13,35
526,Zoovu 526,Inverse client-server workforce,435.38,1
527,Digitube 527,Persistent zero administration strategy,523.78,77
528,Tavu 528,Switchable actuating pricing structure,452.17,98
529,Browsedrive 529,Reverse-engineered 6th generation orchestration,645.74,34
530,Dabvine 530,Exclusive modular concept,679.01,64
531,Livetube 531,Devolved 4th generation secured line,817.96,84
532,Youbridge 532,Pre-emptive eco-centric application,166.85,28
533,Wikido 533,User-friendly asymmetric implementation,156.23,6
534,Jabbertype 534,Fully-configurable secondary leverage,585.54,4
535,Avamm 535,Re-contextualized national moratorium,903.6,7
536,Quire 536,Digitized interactive moratorium,517.82,91
537,Skimia 537,Decentralized heuristic software,809.51,57
538,Yakitri 538,Customer-focused multi-state process improvement,842.56,66
539,Thoughtsphere 539,Realigned didactic conglomeration,746.15,87
540,Devbug 540,Intuitive 5th generation matrix,536.41,76
541,Photobug 541,Distributed radical adapter,385.63,11
542,Mydo 542,Balanced responsive array,423.03,95
543,Realpoint 543,Up-sized content-based moratorium,968.02,59
544,Kwinu 544,Pre-emptive empowering budgetary management,438.65,86
545,Skipstorm 545,Integrated full-range focus group,145.02,31
546,Meedoo 546,Virtual non-volatile collaboration,668.36,23
547,Skyvu 547,Face to face impactful groupware,792.77,32
548,Quimm 548,Cloned intermediate extranet,496.36,73
549,Edgeclub 549,Monitored attitude-oriented hierarchy,820.99,35
550,Reallinks 550,Cross-platform discrete service-desk,898.3,20
551,Voonder 551,Grass-roots demand-driven paradigm,970.67,57
552,Edgeblab 552,Switchable transitional website,201.18,76
553,Oozz 553,Cross-platform foreground knowledge base,252.44,27
554,Digitube 554,User-friendly composite benchmark,323.41,38
555,Edgeify 555,Centralized encompassing monitoring,153.71,19
556,Realfire 556,Focused motivating open architecture,764.65,79
557,Meembee 557,Re-engineered 6th generation array,868.54,24
558,Tavu 558,Integrated heuristic help-desk,571.53,8
559,Blogpad 559,Mandatory hybrid collaboration,904.04,36
560,Skippad 560,Digitized bi-directional emulation,664.11,93
